화재발생일시,화재발생_연,화재발생_월,화재발생_일,주말여부,화재발생시간대,시군구명,읍면동명,발화지점,날씨,온도,습도,특보내용,발화원인종합,소방서명,서센터명,소방지역대명,출동소요시간,현장소방서거리,현장안전센터거리,현장소방지역대거리,전체인력수합계,화재진압시간,동원장비수,인명피해수,재산피해금액,피해면적
2014-03-24 19:14:00,2014,3,24,0,18~21,양양군,강현면,산아래,맑음,15,31,건조주의보,기계/전기/화학 요인,양양소방서,양양119안전센터,,854,13,7,0.0,615,5552,34,0,4332,0.3
2014-03-27 15:48:00,2014,3,27,0,15~18,철원군,갈말읍,산중턱,맑음,21,27,,인간의 부주의,철원소방서,태봉119안전센터,,303,1,9,0.0,38,5627,10,0,0,0.03
2014-03-27 17:26:00,2014,3,27,0,15~18,홍천군,서면,산중턱,맑음,22,19,,인간의 부주의,홍천소방서,양덕원119안전센터,서면119지역대,1256,47,26,8.0,104,11655,11,0,310,0.2
2014-03-27 18:29:00,2014,3,27,0,18~21,평창군,용평면,산아래,맑음,17,32,,미상,평창소방서,봉평119안전센터,,2922,48,27,17.0,263,12018,17,0,1340,0.15
2014-04-01 13:42:00,2014,4,1,0,12~15,횡성군,서원면,산아래,구름조금,22,23,,기계/전기/화학 요인,횡성소방서,횡성119안전센터,서원119지역대,1500,18,18,5.0,103,4900,68,0,0,0.2
2014-04-09 13:52:00,2014,4,9,0,12~15,영월군,수주면,산아래,맑음,23,24,,인간의 부주의,영월소방서,주천119안전센터,,2200,38,19,0.0,145,4500,26,0,0,0.0
2014-04-10 13:04:00,2014,4,10,0,12~15,양구군,남면,산아래,맑음,21,37,,인간의 부주의,춘천소방서,양구119안전센터,남면119지역대,1111,60,10,4.0,78,4110,10,0,0,0.05
2014-04-10 15:08:00,2014,4,10,0,15~18,철원군,갈말읍,산아래,구름조금,20,28,,인간의 부주의,철원소방서,태봉119안전센터,,133,1,7,0.0,71,3103,6,0,0,0.03
2014-04-11 14:25:00,2014,4,11,0,12~15,춘천시,동면,산중턱,구름조금,22,31,,인간의 부주의,춘천소방서,후평119안전센터,,0,30,30,0.0,73,5000,4,0,0,0.01
2014-04-11 17:27:00,2014,4,11,0,15~18,원주시,지정면,산정상,구름조금,18,53,,인간의 부주의,원주소방서,문막119안전센터,,2519,25,11,0.0,80,2402,8,0,0,0.1
2014-04-12 13:59:00,2014,4,12,1,12~15,양구군,양구읍,산중턱,맑음,12,0,건조주의보,인간의 부주의,춘천소방서,양구119안전센터,,2755,55,14,22.0,110,12504,7,0,0,0.2
2014-04-16 22:45:00,2014,4,16,0,21~24,춘천시,동면,산아래,구름조금,9,96,,미상,춘천소방서,후평119안전센터,,500,2,2,0.0,131,30800,6,0,0,0.09
2014-04-17 19:14:00,2014,4,17,0,18~21,춘천시,동면,산아래,비,14,93,,방화 및 방화의심,춘천소방서,후평119안전센터,,459,4,4,0.0,109,5901,3,0,0,0.03
2014-04-20 13:41:00,2014,4,20,1,12~15,홍천군,서면,산아래,구름조금,21,36,,인간의 부주의,홍천소방서,양덕원119안전센터,서면119지역대,3830,47,38,15.0,102,3535,12,0,44,0.2
2014-04-21 13:15:00,2014,4,21,0,12~15,영월군,한반도면,산중턱,구름조금,21,29,,인간의 부주의,영월소방서,주천119안전센터,한반도119지역대,1348,25,6,0.0,133,14814,10,0,0,0.1
2014-04-21 16:05:00,2014,4,21,0,15~18,고성군,토성면,산중턱,맑음,16,31,,인간의 부주의,고성소방서,동광119안전센터,,2011,14,13,0.0,119,2922,24,0,5084,0.09
